This table was composed by ,,,,,,
original table flattened for machine learning by Medina Sydykanova,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
//Organ,//Structure/Region,//Sub-Structure/Sub-region#2,Sub-Sub-Structure #3,//Cell Type,//Subset of Marker Protein Markers (https://www.genenames.org),//Gene Markers
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),CD8+ T cell,"CD3, CD7, CD2, CD5, TCRab, CD8","MGLL, TAGLN, CD3D, CD8A, CD2"
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),macrophage,"HLA-DR, CD163, CD206, CD11b, CD68",CD14
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),eosinophil,"CD11b, CD294",
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),mast cell,"CD117, MCT",HDC
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),neutrophil,"CD15, CD16",
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),NK cell,"CD56, CD57, CD11c, NKG2D",
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),Dendritic cell,"HLA-DR, CD11c, CD123",
Small bowel,ileum,mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),Innate lymphoid cell,"CD127, CD117, CD161",
Small bowel,ileum,mucosa,muscularis mucosa,muscle,aSMA,
Small bowel,ileum,submucosa,submucosa,nerve,"PDL1, CD56, PGP9.5",
Small bowel,ileum,submucosa,submucosa,endoethlial,"CD31, CD34, CD36","NOVA2, SOX17"
Small bowel,ileum,submucosa,submucosa,lymphatic,"CD31, Podoplanin",
Small bowel,ileum,submucosa,submucosal plexus of Meissner,nerve,"PDL1, CD56, PGP9.5",
Small bowel,ileum,submucosa,submucosal plexus of Meissner,muscle,aSMA,
Small bowel,ileum,muscularis externa,circular/longitudinal muscle,muscle,aSMA,
Small bowel,ileum,muscularis externa,circular/longitudinal muscle,Interstitial cell of Cajal,"CD117, CD34",
Small bowel,ileum,muscularis externa,circular/longitudinal muscle,fibroblast,"Col6A1, Col6A2","COL6A1, COL6A2"
Small bowel,ileum,muscularis externa,circular/longitudinal muscle,endothelial,"CD31, CD34, CD36","NOVA2, SOX17"
Small bowel,ileum,muscularis externa,circular/longitudinal muscle,nerve,"PDL1, CD56, PGP9.5",
Small bowel,ileum,muscularis externa,myenteric plexus of Auerbach,nerve,"PDL1, CD56, PGP9.5",
Small bowel,ileum,muscularis externa,myenteric plexus of Auerbach,muscle,aSMA,
Small bowel,ileum,serosa,,mesothelial,Cytokeratin,
Small bowel,ileum,serosa,connective tissue,fibroblast,,"COL6A1, COL6A2"
Small bowel,ileum,serosa,connective tissue,endothelial cell,,"NOVA2, SOX17"
Small bowel,"ileum, terminal",mucosa,Epithelium,epithelial stem cell,"CD34, SOX9, CD44","LGR5, ASCL2, CDHR1, BIRC3, MYL9"
Small bowel,"ileum, terminal",mucosa,Epithelium,Paneth,alpha Defensin 5a,"LYZ, DEFA5"
Small bowel,"ileum, terminal",mucosa,Epithelium,endocrine,"Chromogranin, Synaptophysin",CRYBA2
Small bowel,"ileum, terminal",mucosa,Epithelium,absorptive,,"CA2, SI"
Small bowel,"ileum, terminal",mucosa,Epithelium,goblet,,"MUC2, ITLN1, SLC26A2, CLCA4"
Small bowel,"ileum, terminal",mucosa,Epithelium,enterocyte,,"BEST4, CA7, NEURL1, HES1"
Small bowel,"ileum, terminal",mucosa,Epithelium,Tuft cell,,"DCLK1, IRF7, SELENBP1"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),endothelial,"CD31, CD34, CD36","CD36, SOX17"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),lymphatic,"CD31, Podoplanin",
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),myofibroblast,,"TP53I3, DES, ACTG2, CNN1"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),fibroblast,"Col6A1, Col6A2","COL6A1, COL6A2"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),nerve,"PDL1, CD56, PGP9.5",
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),M cell,Cytokeratin 7,
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),B cell,"CD21, CD19","MKI67, PAX5, MS4A1"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),plasma,CD138,IGLL5
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),CD4+ T cell,,"CD3, CD7, CD2, CD5, TCRab, CD4"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),regulatory CD4+ T cell,"CD4, FOXP3, CD25","CD4, FOXP3"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),CD8+ T cell,"CD3, CD7, CD2, CD5, TCRab, CD8","MGLL, TAGLN, CD3D, CD8A, CD2"
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),macrophage,"HLA-DR, CD163, CD206, CD11b, CD68",CD14
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),eosinophil,"CD11b, CD294",
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),mast cell,"CD117, MCT",HDC
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),neutrophil,"CD15, CD16",
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),NK cell,"CD56, CD57, CD11c, NKG2D",
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),Dendritic cell,"HLA-DR, CD11c, CD123",
Small bowel,"ileum, terminal",mucosa,Lamina propria/Gut associated lymphoid tissue (GALT),Innate lymphoid cell,"CD127, CD117, CD161",
Small bowel,"ileum, terminal",mucosa,muscularis mucosa,muscle,aSMA,
Small bowel,"ileum, terminal",submucosa,submucosa,nerve,"PDL1, CD56, PGP9.5",
Small bowel,"ileum, terminal",submucosa,submucosa,endoethlial,"CD31, CD34, CD36","NOVA2, SOX17"
Small bowel,"ileum, terminal",submucosa,submucosa,lymphatic,"CD31, Podoplanin",
Small bowel,"ileum, terminal",submucosa,submucosal plexus of Meissner,nerve,"PDL1, CD56, PGP9.5",
Small bowel,"ileum, terminal",submucosa,submucosal plexus of Meissner,muscle,aSMA,
Small bowel,"ileum, terminal",muscularis externa,circular/longitudinal muscle,muscle,aSMA,
Small bowel,"ileum, terminal",muscularis externa,circular/longitudinal muscle,Interstitial cell of Cajal,"CD117, CD34",
Small bowel,"ileum, terminal",muscularis externa,circular/longitudinal muscle,fibroblast,"Col6A1, Col6A2","COL6A1, COL6A2"
Small bowel,"ileum, terminal",muscularis externa,circular/longitudinal muscle,endothelial,"CD31, CD34, CD36","NOVA2, SOX17"
Small bowel,"ileum, terminal",muscularis externa,circular/longitudinal muscle,nerve,"PDL1, CD56, PGP9.5",
Small bowel,"ileum, terminal",muscularis externa,myenteric plexus of Auerbach,nerve,"PDL1, CD56, PGP9.5",
Small bowel,"ileum, terminal",muscularis externa,myenteric plexus of Auerbach,muscle,aSMA,
Small bowel,"ileum, terminal",serosa,,mesothelial,Cytokeratin,
Small bowel,"ileum, terminal",serosa,connective tissue,fibroblast,,"COL6A1, COL6A2"
Small bowel,"ileum, terminal",serosa,connective tissue,endothelial cell,,"NOVA2, SOX17"
